"rok","odvetvi","prumerna_mzda","potravina_nazev","potravina_prum_cena"
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,17507,Banány žluté,27.0
2006,Těžba a dobývání,24018,Banány žluté,27.0
2006,"Ubytování, stravování a pohostinství",11106,Banány žluté,27.0
2006,"Kulturní, zábavní a rekreační činnosti",15478,Banány žluté,27.0
2006,Zpracovatelský průmysl,18277,Banány žluté,27.0
2006,Stavebnictví,17644,Banány žluté,27.0
2006,"Zemědělství, lesnictví, rybářství",14421,Banány žluté,27.0
2006,"Profesní, vědecké a technické činnosti",23106,Banány žluté,27.0
2006,Informační a komunikační činnosti,34942,Banány žluté,27.0
2006,Peněžnictví a pojišťovnictví,39353,Banány žluté,27.0
2006,Doprava a skladování,18994,Banány žluté,27.0
2006,Zdravotní a sociální péče,17974,Banány žluté,27.0
2006,Vzdělávání,18197,Banány žluté,27.0
2006,Zásobování vodou; činnosti související s odpady a sanacemi,18241,Banány žluté,27.0
2006,Ostatní činnosti,14955,Banány žluté,27.0
2006,Činnosti v oblasti nemovitostí,17551,Banány žluté,27.0
2006,Administrativní a podpůrné činnosti,13414,Banány žluté,27.0
2006,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",28477,Banány žluté,27.0
2006,Veřejná správa a obrana; povinné sociální zabezpečení,22853,Banány žluté,27.0
2006,Administrativní a podpůrné činnosti,13414,Cukr krystalový,22.0
2006,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",28477,Cukr krystalový,22.0
2006,Veřejná správa a obrana; povinné sociální zabezpečení,22853,Cukr krystalový,22.0
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,17507,Cukr krystalový,22.0
2006,Těžba a dobývání,24018,Cukr krystalový,22.0
2006,"Ubytování, stravování a pohostinství",11106,Cukr krystalový,22.0
2006,"Kulturní, zábavní a rekreační činnosti",15478,Cukr krystalový,22.0
2006,Zpracovatelský průmysl,18277,Cukr krystalový,22.0
2006,Stavebnictví,17644,Cukr krystalový,22.0
2006,"Zemědělství, lesnictví, rybářství",14421,Cukr krystalový,22.0
2006,"Profesní, vědecké a technické činnosti",23106,Cukr krystalový,22.0
2006,Informační a komunikační činnosti,34942,Cukr krystalový,22.0
2006,Peněžnictví a pojišťovnictví,39353,Cukr krystalový,22.0
2006,Doprava a skladování,18994,Cukr krystalový,22.0
2006,Zdravotní a sociální péče,17974,Cukr krystalový,22.0
2006,Vzdělávání,18197,Cukr krystalový,22.0
2006,Zásobování vodou; činnosti související s odpady a sanacemi,18241,Cukr krystalový,22.0
2006,Ostatní činnosti,14955,Cukr krystalový,22.0
2006,Činnosti v oblasti nemovitostí,17551,Cukr krystalový,22.0
2006,"Zemědělství, lesnictví, rybářství",14421,Eidamská cihla,111.0
2006,"Profesní, vědecké a technické činnosti",23106,Eidamská cihla,111.0
2006,Informační a komunikační činnosti,34942,Eidamská cihla,111.0
2006,Peněžnictví a pojišťovnictví,39353,Eidamská cihla,111.0
2006,Doprava a skladování,18994,Eidamská cihla,111.0
2006,Zdravotní a sociální péče,17974,Eidamská cihla,111.0
2006,Vzdělávání,18197,Eidamská cihla,111.0
2006,Zásobování vodou; činnosti související s odpady a sanacemi,18241,Eidamská cihla,111.0
2006,Ostatní činnosti,14955,Eidamská cihla,111.0
2006,Činnosti v oblasti nemovitostí,17551,Eidamská cihla,111.0
2006,Administrativní a podpůrné činnosti,13414,Eidamská cihla,111.0
2006,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",28477,Eidamská cihla,111.0
2006,Veřejná správa a obrana; povinné sociální zabezpečení,22853,Eidamská cihla,111.0
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,17507,Eidamská cihla,111.0
2006,Těžba a dobývání,24018,Eidamská cihla,111.0
2006,"Ubytování, stravování a pohostinství",11106,Eidamská cihla,111.0
2006,"Kulturní, zábavní a rekreační činnosti",15478,Eidamská cihla,111.0
2006,Zpracovatelský průmysl,18277,Eidamská cihla,111.0
2006,Stavebnictví,17644,Eidamská cihla,111.0
2006,Těžba a dobývání,24018,Hovězí maso zadní bez kosti,166.0
2006,"Ubytování, stravování a pohostinství",11106,Hovězí maso zadní bez kosti,166.0
2006,Zpracovatelský průmysl,18277,Hovězí maso zadní bez kosti,166.0
2006,Stavebnictví,17644,Hovězí maso zadní bez kosti,166.0
2006,"Kulturní, zábavní a rekreační činnosti",15478,Hovězí maso zadní bez kosti,166.0
2006,"Zemědělství, lesnictví, rybářství",14421,Hovězí maso zadní bez kosti,166.0
2006,"Profesní, vědecké a technické činnosti",23106,Hovězí maso zadní bez kosti,166.0
