"rok","zeme","populace","HDP","gini"
1960,Albania,1608800.0,,
1961,Albania,1659800.0,,
1962,Albania,1711319.0,,
1963,Albania,1762621.0,,
1964,Albania,1814135.0,,
1965,Albania,1864791.0,,
1966,Albania,1914573.0,,
1967,Albania,1965598.0,,
1968,Albania,2022272.0,,
1969,Albania,2081695.0,,
1970,Albania,2135479.0,,
1971,Albania,2187853.0,,
1972,Albania,2243126.0,,
1973,Albania,2296752.0,,
1974,Albania,2350124.0,,
1975,Albania,2404831.0,,
1976,Albania,2458526.0,,
1977,Albania,2513546.0,,
1978,Albania,2566266.0,,
1979,Albania,2617832.0,,
1980,Albania,2671997.0,5323398063.85534,
1981,Albania,2726056.0,5629261101.74622,
1982,Albania,2784278.0,5795245314.54426,
1983,Albania,2843960.0,5859279197.3914,
1984,Albania,2904429.0,5785944655.55332,
1985,Albania,2964762.0,5888971729.57823,
1986,Albania,3022635.0,6220947386.67305,
1987,Albania,3083605.0,6171936109.61493,
1988,Albania,3142336.0,6084292169.38809,
1989,Albania,3227943.0,6682776548.1368,
1990,Albania,3286542.0,6042857912.55639,
1991,Albania,3266790.0,4350728279.80877,
1992,Albania,3247039.0,4038036612.66906,
1993,Albania,3227287.0,4424049156.84258,
1994,Albania,3207536.0,4791372056.26117,
1995,Albania,3187784.0,5429694612.20147,
1996,Albania,3168033.0,5923796791.7011,27.0
1997,Albania,3148281.0,5276919124.81347,
1998,Albania,3128530.0,5742875711.85154,
1999,Albania,3108778.0,6483126460.62459,
2000,Albania,3089027.0,6933706092.26578,
2001,Albania,3060173.0,7508515182.79876,
2002,Albania,3051010.0,7849398816.77983,31.7
2003,Albania,3039616.0,8283474557.11024,
2004,Albania,3026939.0,8739893896.95844,
2005,Albania,3011487.0,9223202583.88038,30.6
2006,Albania,2992547.0,9767379279.88863,
2007,Albania,2970017.0,10351466806.2388,
2008,Albania,2947314.0,11127823665.7504,30.0
2009,Albania,2927519.0,11500613161.6647,
2010,Albania,2913021.0,11926928505.5231,
2011,Albania,2905195.0,12230507222.1843,
2012,Albania,2900401.0,12403877841.0321,29.0
2013,Albania,2895092.0,12528163103.1195,
2014,Albania,2889104.0,12750473701.7819,34.6
2015,Albania,2880703.0,13033375121.5884,32.9
2016,Albania,2876101.0,13465406059.6498,33.7
2017,Albania,2873457.0,13977387390.5945,33.2
2018,Albania,2866376.0,14546448944.4056,
2019,Albania,2854191.0,14862643983.3091,
2020,Albania,2837743.0,14370506253.3253,
1960,Andorra,13410.0,,
1961,Andorra,14378.0,,
1962,Andorra,15379.0,,
1963,Andorra,16407.0,,
1964,Andorra,17466.0,,
1965,Andorra,18542.0,,
1966,Andorra,19646.0,,
1967,Andorra,20760.0,,
1968,Andorra,21886.0,,
1969,Andorra,23053.0,,
1970,Andorra,24275.0,1012346692.50671,
1971,Andorra,25571.0,1059415401.3062,
1972,Andorra,26885.0,1145755038.99145,
1973,Andorra,28232.0,1234991794.42933,
1974,Andorra,29515.0,1304383386.5365,
1975,Andorra,30705.0,1311455827.07027,
1976,Andorra,31782.0,1354783534.84503,
1977,Andorra,32769.0,1393240089.2387,
1978,Andorra,33744.0,1413623194.23724,
1979,Andorra,34825.0,1414210656.38646,
1980,Andorra,36063.0,1445446717.57423,
1981,Andorra,37498.0,1443531869.0965,
1982,Andorra,39115.0,1461524932.50469,
1983,Andorra,40854.0,1487395653.0415,
1984,Andorra,42706.0,1513941005.34203,
1985,Andorra,44593.0,1549086131.92805,
1986,Andorra,46520.0,1599482888.42279,
1987,Andorra,48459.0,1688208158.34045,
1988,Andorra,50433.0,1774210988.9159,
1989,Andorra,52452.0,1859852760.9129,
1990,Andorra,54508.0,1930181002.39944,
1991,Andorra,56666.0,1979323478.72199,
1992,Andorra,58882.0,1997715630.38579,
1993,Andorra,60974.0,1977109505.50179,
1994,Andorra,62676.0,2024227628.26462,
1995,Andorra,63860.0,2080045737.77012,
1996,Andorra,64363.0,2176762428.74188,
1997,Andorra,64318.0,2374144107.11918,
1998,Andorra,64140.0,2449993106.19117,
1999,Andorra,64368.0,2550420257.1921,
2000,Andorra,65390.0,2640408325.59989,
2001,Andorra,67344.0,2854792522.86889,
2002,Andorra,70048.0,2984581731.4066,
2003,Andorra,73180.0,3244067347.20933,
2004,Andorra,76250.0,3507994166.77714,
2005,Andorra,78871.0,3697348535.06562,
2006,Andorra,80995.0,3875142516.24022,
2007,Andorra,82682.0,3935330770.25056,
2008,Andorra,83860.0,3716558398.51518,
2009,Andorra,84461.0,3519475009.94299,
2010,Andorra,84454.0,3449966856.68832,
2011,Andorra,83748.0,3449688452.87021,
2012,Andorra,82427.0,3278085642.31738,
2013,Andorra,80770.0,3161792390.29564,
2014,Andorra,79213.0,3240978390.56079,
2015,Andorra,77993.0,3287458570.8604,
2016,Andorra,77295.0,3409412700.51704,
2017,Andorra,76997.0,3421211719.47501,
2018,Andorra,77008.0,3475566750.62972,
2019,Andorra,77146.0,3545618454.19594,
2020,Andorra,77265.0,3121702240.48787,
1960,Austria,7047539.0,91926307558.3378,
1961,Austria,7086299.0,97017167457.6581,
1962,Austria,7129864.0,99586837027.4007,
1963,Austria,7175811.0,103708006819.617,
1964,Austria,7223801.0,110059452011.494,
1965,Austria,7270889.0,113889713455.281,
1966,Austria,7322066.0,120316352146.871,
