"rok","odvetvi","prumerna_mzda"
2006,Administrativní a podpůrné činnosti,13414
2006,Činnosti v oblasti nemovitostí,17551
2006,Doprava a skladování,18994
2006,Informační a komunikační činnosti,34942
2006,"Kulturní, zábavní a rekreační činnosti",15478
2006,Ostatní činnosti,14955
2006,Peněžnictví a pojišťovnictví,39353
2006,"Profesní, vědecké a technické činnosti",23106
2006,Stavebnictví,17644
2006,Těžba a dobývání,24018
2006,"Ubytování, stravování a pohostinství",11106
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,17507
2006,Veřejná správa a obrana; povinné sociální zabezpečení,22853
2006,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",28477
2006,Vzdělávání,18197
2006,Zásobování vodou; činnosti související s odpady a sanacemi,18241
2006,Zdravotní a sociální péče,17974
2006,"Zemědělství, lesnictví, rybářství",14421
2006,Zpracovatelský průmysl,18277
