"rok","prumerna_mzda","nazev_odvetvi"
2000,9747,Administrativní a podpůrné činnosti
2000,11496,Činnosti v oblasti nemovitostí
2000,13190,Doprava a skladování
2000,21592,Informační a komunikační činnosti
2000,10282,"Kulturní, zábavní a rekreační činnosti"
2000,9974,Ostatní činnosti
2000,24927,Peněžnictví a pojišťovnictví
2000,15337,"Profesní, vědecké a technické činnosti"
2000,12485,Stavebnictví
2000,16535,Těžba a dobývání
2000,7284,"Ubytování, stravování a pohostinství"
2000,12117,Velkoobchod a maloobchod; opravy a údržba motorových vozidel
2000,15079,Veřejná správa a obrana; povinné sociální zabezpečení
2000,18141,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
2000,11243,Vzdělávání
2000,12850,Zásobování vodou; činnosti související s odpady a sanacemi
2000,11297,Zdravotní a sociální péče
2000,10167,"Zemědělství, lesnictví, rybářství"
2000,12675,Zpracovatelský průmysl
2001,10383,Administrativní a podpůrné činnosti
2001,12464,Činnosti v oblasti nemovitostí
2001,14113,Doprava a skladování
2001,24882,Informační a komunikační činnosti
2001,11651,"Kulturní, zábavní a rekreační činnosti"
2001,10913,Ostatní činnosti
2001,28362,Peněžnictví a pojišťovnictví
2001,16566,"Profesní, vědecké a technické činnosti"
2001,13359,Stavebnictví
2001,17706,Těžba a dobývání
2001,8005,"Ubytování, stravování a pohostinství"
2001,13095,Velkoobchod a maloobchod; opravy a údržba motorových vozidel
2001,16460,Veřejná správa a obrana; povinné sociální zabezpečení
2001,19647,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
2001,12392,Vzdělávání
2001,13674,Zásobování vodou; činnosti související s odpady a sanacemi
2001,12724,Zdravotní a sociální péče
2001,11121,"Zemědělství, lesnictví, rybářství"
2001,13575,Zpracovatelský průmysl
2002,11051,Administrativní a podpůrné činnosti
2002,14129,Činnosti v oblasti nemovitostí
2002,15173,Doprava a skladování
2002,26726,Informační a komunikační činnosti
2002,12009,"Kulturní, zábavní a rekreační činnosti"
2002,11959,Ostatní činnosti
2002,30869,Peněžnictví a pojišťovnictví
2002,18257,"Profesní, vědecké a technické činnosti"
2002,14033,Stavebnictví
2002,18732,Těžba a dobývání
2002,8995,"Ubytování, stravování a pohostinství"
2002,14098,Velkoobchod a maloobchod; opravy a údržba motorových vozidel
2002,18045,Veřejná správa a obrana; povinné sociální zabezpečení
2002,21369,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
2002,13586,Vzdělávání
2002,14700,Zásobování vodou; činnosti související s odpady a sanacemi
2002,14392,Zdravotní a sociální péče
2002,11427,"Zemědělství, lesnictví, rybářství"
2002,14449,Zpracovatelský průmysl
2003,11203,Administrativní a podpůrné činnosti
2003,14933,Činnosti v oblasti nemovitostí
2003,15988,Doprava a skladování
2003,28793,Informační a komunikační činnosti
2003,12887,"Kulturní, zábavní a rekreační činnosti"
2003,12942,Ostatní činnosti
2003,32467,Peněžnictví a pojišťovnictví
2003,19477,"Profesní, vědecké a technické činnosti"
2003,15023,Stavebnictví
2003,19661,Těžba a dobývání
2003,9468,"Ubytování, stravování a pohostinství"
2003,14787,Velkoobchod a maloobchod; opravy a údržba motorových vozidel
2003,19452,Veřejná správa a obrana; povinné sociální zabezpečení
2003,22834,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
2003,15241,Vzdělávání
