"rok","prum_cena_potravina","nazev_potravina"
2006,27.0,Banány žluté
2006,22.0,Cukr krystalový
2006,111.0,Eidamská cihla
2006,166.0,Hovězí maso zadní bez kosti
2006,16.0,Chléb konzumní kmínový
2006,31.0,Jablka konzumní
2006,6.0,Jogurt bílý netučný
2006,69.0,Kapr živý
2006,12.0,Konzumní brambory
2006,47.0,Kuřata kuchaná celá
2006,104.0,Máslo
2006,14.0,Mléko polotučné pasterované
2006,14.0,Mrkev
2006,35.0,Papriky
2006,39.0,Pečivo pšeničné bílé
2006,8.0,"Pivo výčepní, světlé, lahvové"
2006,25.0,Pomeranče
2006,8.0,Přírodní minerální voda uhličitá
2006,7.0,Pšeničná mouka hladká
2006,58.0,Rajská jablka červená kulatá
2006,69.0,Rostlinný roztíratelný tuk
2006,21.0,Rýže loupaná dlouhozrnná
2006,117.0,Šunkový salám
2006,26.0,Těstoviny vaječné
2006,23.0,Vejce slepičí čerstvá
2006,105.0,Vepřová pečeně s kostí
2007,31.0,Banány žluté
2007,22.0,Cukr krystalový
2007,123.0,Eidamská cihla
2007,169.0,Hovězí maso zadní bez kosti
2007,19.0,Chléb konzumní kmínový
2007,28.0,Jablka konzumní
2007,6.0,Jogurt bílý netučný
2007,79.0,Kapr živý
2007,14.0,Konzumní brambory
2007,54.0,Kuřata kuchaná celá
2007,116.0,Máslo
2007,16.0,Mléko polotučné pasterované
2007,14.0,Mrkev
2007,69.0,Papriky
2007,44.0,Pečivo pšeničné bílé
2007,9.0,"Pivo výčepní, světlé, lahvové"
2007,30.0,Pomeranče
2007,8.0,Přírodní minerální voda uhličitá
2007,9.0,Pšeničná mouka hladká
2007,40.0,Rajská jablka červená kulatá
2007,70.0,Rostlinný roztíratelný tuk
2007,24.0,Rýže loupaná dlouhozrnná
2007,116.0,Šunkový salám
2007,27.0,Těstoviny vaječné
2007,25.0,Vejce slepičí čerstvá
2007,103.0,Vepřová pečeně s kostí
2008,31.0,Banány žluté
2008,21.0,Cukr krystalový
2008,135.0,Eidamská cihla
2008,176.0,Hovězí maso zadní bez kosti
2008,23.0,Chléb konzumní kmínový
2008,33.0,Jablka konzumní
2008,6.0,Jogurt bílý netučný
2008,80.0,Kapr živý
2008,11.0,Konzumní brambory
2008,61.0,Kuřata kuchaná celá
2008,115.0,Máslo
2008,18.0,Mléko polotučné pasterované
2008,17.0,Mrkev
2008,62.0,Papriky
2008,54.0,Pečivo pšeničné bílé
2008,9.0,"Pivo výčepní, světlé, lahvové"
2008,31.0,Pomeranče
2008,8.0,Přírodní minerální voda uhličitá
2008,13.0,Pšeničná mouka hladká
2008,36.0,Rajská jablka červená kulatá
2008,84.0,Rostlinný roztíratelný tuk
2008,33.0,Rýže loupaná dlouhozrnná
2008,119.0,Šunkový salám
2008,31.0,Těstoviny vaječné
2008,28.0,Vejce slepičí čerstvá
2008,106.0,Vepřová pečeně s kostí
2009,31.0,Banány žluté
2009,20.0,Cukr krystalový
2009,112.0,Eidamská cihla
2009,179.0,Hovězí maso zadní bez kosti
2009,20.0,Chléb konzumní kmínový
2009,26.0,Jablka konzumní
2009,6.0,Jogurt bílý netučný
2009,82.0,Kapr živý
2009,10.0,Konzumní brambory
2009,58.0,Kuřata kuchaná celá
2009,96.0,Máslo
2009,16.0,Mléko polotučné pasterované
2009,17.0,Mrkev
2009,52.0,Papriky
2009,39.0,Pečivo pšeničné bílé
2009,9.0,"Pivo výčepní, světlé, lahvové"
2009,30.0,Pomeranče
2009,8.0,Přírodní minerální voda uhličitá
2009,10.0,Pšeničná mouka hladká
2009,35.0,Rajská jablka červená kulatá
2009,84.0,Rostlinný roztíratelný tuk
2009,36.0,Rýže loupaná dlouhozrnná
2009,118.0,Šunkový salám
2009,31.0,Těstoviny vaječné
2009,26.0,Vejce slepičí čerstvá
2009,106.0,Vepřová pečeně s kostí
2010,27.0,Banány žluté
2010,18.0,Cukr krystalový
2010,120.0,Eidamská cihla
2010,176.0,Hovězí maso zadní bez kosti
2010,18.0,Chléb konzumní kmínový
2010,25.0,Jablka konzumní
2010,6.0,Jogurt bílý netučný
2010,84.0,Kapr živý
2010,13.0,Konzumní brambory
2010,57.0,Kuřata kuchaná celá
2010,118.0,Máslo
2010,16.0,Mléko polotučné pasterované
2010,16.0,Mrkev
2010,61.0,Papriky
2010,34.0,Pečivo pšeničné bílé
2010,10.0,"Pivo výčepní, světlé, lahvové"
2010,31.0,Pomeranče
2010,8.0,Přírodní minerální voda uhličitá
2010,9.0,Pšeničná mouka hladká
2010,42.0,Rajská jablka červená kulatá
2010,80.0,Rostlinný roztíratelný tuk
2010,34.0,Rýže loupaná dlouhozrnná
2010,117.0,Šunkový salám
2010,32.0,Těstoviny vaječné
2010,25.0,Vejce slepičí čerstvá
2010,100.0,Vepřová pečeně s kostí
2011,27.0,Banány žluté
2011,22.0,Cukr krystalový
2011,122.0,Eidamská cihla
2011,181.0,Hovězí maso zadní bez kosti
2011,22.0,Chléb konzumní kmínový
2011,29.0,Jablka konzumní
2011,7.0,Jogurt bílý netučný
2011,87.0,Kapr živý
2011,14.0,Konzumní brambory
2011,58.0,Kuřata kuchaná celá
2011,139.0,Máslo
2011,18.0,Mléko polotučné pasterované
2011,16.0,Mrkev
2011,53.0,Papriky
2011,43.0,Pečivo pšeničné bílé
2011,10.0,"Pivo výčepní, světlé, lahvové"
2011,28.0,Pomeranče
2011,8.0,Přírodní minerální voda uhličitá
2011,11.0,Pšeničná mouka hladká
2011,30.0,Rajská jablka červená kulatá
2011,89.0,Rostlinný roztíratelný tuk
2011,33.0,Rýže loupaná dlouhozrnná
2011,116.0,Šunkový salám
2011,35.0,Těstoviny vaječné
2011,23.0,Vejce slepičí čerstvá
2011,100.0,Vepřová pečeně s kostí
2012,31.0,Banány žluté
2012,24.0,Cukr krystalový
2012,128.0,Eidamská cihla
